address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Prince Sultand Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Prince Sultand Street, Jeddah Saudi Arabia",3,+ Add hours,510 of 628 Restaurants in Jeddah,966 12 611 0166,, Chefs Smoked House,3.5 
6754 Muhammad Ibn Abdul Aziz Al Andalus District, Jeddah 23322 Saudi Arabia,Jeddah,"Lebanese, Middle Eastern, Arabic", Middle Eastern,"6754 Muhammad Ibn Abdul Aziz Al Andalus District, Jeddah 23322 Saudi Arabia",5,Open Now:7:30 AM - 12:00 AM,41 of 46 Lebanese in Jeddah,966 9200 03664,, Zaroob,3.5 
Prince Saud Al Faisal Street Al Zayd Business Center, Jeddah 21413 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Prince Saud Al Faisal Street Al Zayd Business Center, Jeddah 21413 Saudi Arabia",1,+ Add hours,512 of 628 Restaurants in Jeddah,966 12 639 1266,, Medrainus,5.0 
Jeddah Saudi Arabia,,Jeddah,", American", American,Jeddah Saudi Arabia,1,+ Add hours,67 of 79 American in Jeddah,966 50 337 5200, 15 -  20, Burger League,5.0 
Jeddah 40004 Saudi Arabia,,Jeddah,Arabic,Arabic,Jeddah 40004 Saudi Arabia,2,+ Add hours,43 of 51 Arabic in Jeddah,,, Shawly,4.0 
Saudia City Compound Al Khalidiya, Jeddah 23421 Saudi Arabia,Jeddah,"Barbecue, Soups", Soups,"Saudia City Compound Al Khalidiya, Jeddah 23421 Saudi Arabia",1,+ Add hours,30 of 32 Barbecue in Jeddah,,, City Station,5.0 
Corniche road, Jeddah Saudi Arabia,Jeddah,  ,Restaurants,"Corniche road, Jeddah Saudi Arabia",6,+ Add hours,516 of 628 Restaurants in Jeddah,, 56 -  75, Bayt Alma'akolat Al-Eraniah,3.5 
Stars Avenue Mall, Jeddah Saudi Arabia,Jeddah,"Austrian, European", European,"Stars Avenue Mall, Jeddah Saudi Arabia",8,Open Now:See all hours,1 of 1 Austrian in Jeddah,,, Aida Cafe Vienna,3.5 
2423 Al Amal, Jeddah Saudi Arabia,Jeddah,Asian,Asian,"2423 Al Amal, Jeddah Saudi Arabia",2,+ Add hours,60 of 65 Asian in Jeddah,,, Asian kokh Restaurant,4.0 
Jeddah Saudi Arabia,,Jeddah,"Mediterranean, Egyptian, Arabic", Egyptian,Jeddah Saudi Arabia,1,Closed Now:See all hours,76 of 84 Mediterranean in Jeddah,966 9200 05829,, El Moez,5.0 
Corniche road, Jeddah Saudi Arabia,Jeddah,"  , Pizza", Pizza,"Corniche road, Jeddah Saudi Arabia",81,Closed Now:See all hours,23 of 29 Pizza in Jeddah,"6986141 , 6390208",, Pizza Hut,3.0 
Abdulmaksoud Khoja Street, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"Abdulmaksoud Khoja Street, Jeddah Saudi Arabia",4,+ Add hours,44 of 55 Cafe in Jeddah,966 12 263 0263,, Solo Cafe,3.5 
Jeddah Saudi Arabia,,Jeddah,"  , Chinese, Asian", Chinese,Jeddah Saudi Arabia,14,+ Add hours,27 of 29 Chinese in Jeddah,,, China Gate,3.5 
Mall Of Arabia 2445 Al-Nuzhah Jeddah 23532 - 8071, Jeddah Saudi Arabia,Jeddah,"  , Italian, Pizza, Fast Food", Italian,"Mall Of Arabia 2445 Al-Nuzhah Jeddah 23532 - 8071, Jeddah Saudi Arabia",26,+ Add hours,37 of 43 Italian in Jeddah,,, The Pizza Company,3.0 
Abhour Malik Road, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Abhour Malik Road, Jeddah Saudi Arabia",1,Open Now:6:00 PM - 1:45 AM,528 of 628 Restaurants in Jeddah,966 12 290 6680,, Loungebyaurum,5.0 
Prince Sultan Street Nama Center, Jeddah Saudi Arabia,Jeddah,Japanese,Japanese,"Prince Sultan Street Nama Center, Jeddah Saudi Arabia",2,+ Add hours,23 of 24 Japanese in Jeddah,966 2 606 2288,, Shogun Lounge,4.0 
Jeddah Saudi Arabia,,Jeddah,Seafood,Seafood,Jeddah Saudi Arabia,3,+ Add hours,41 of 44 Seafood in Jeddah,,, Seagulls' Catch,3.5 
Al-Khaldyaa, Jeddah Saudi Arabia,Jeddah,"Lebanese, Mediterranean", Mediterranean,"Al-Khaldyaa, Jeddah Saudi Arabia",5,+ Add hours,42 of 46 Lebanese in Jeddah,,, Semsem,3.5 
Al Imam Al Shafe'Ai St. Near Aziz Mall, Jeddah Saudi Arabia,Jeddah,"  , Filipino, Asian", Filipino,"Al Imam Al Shafe'Ai St. Near Aziz Mall, Jeddah Saudi Arabia",6,+ Add hours,2 of 2 Filipino in Jeddah,966 12 257 8549,, Lapaz Batchoy,3.5 
Al Batarji Street, Jeddah 23521 Saudi Arabia,Jeddah,"American, Cafe, Deli", Cafe,"Al Batarji Street, Jeddah 23521 Saudi Arabia",1,+ Add hours,69 of 79 American in Jeddah,966 50 300 0944,, bagel,4.0 
3002 Muhammed Attayyib Attoonsi Street, Jeddah 23421 Saudi Arabia,Jeddah,", European", European,"3002 Muhammed Attayyib Attoonsi Street, Jeddah 23421 Saudi Arabia",1,Closed Now:See all hours,33 of 36 European in Jeddah,966 50 451 5141, 94 -  376, W Cafe & Lounge,4.0 
4129 Prince Saud Al Faisal, 7496,Jeddah,Turkish,Turkish,"4129 Prince Saud Al Faisal, 7496, Jeddah 23432 7496 Saudi Arabia",1,+ Add hours,25 of 29 Turkish in Jeddah,966 12 605 5536,, Hareed Restaurant,4.0 
Prince Sultan Road, Lilian towers Lilian towers,Jeddah,Restaurants,Restaurants,"Prince Sultan Road, Lilian towers Lilian towers, Jeddah Saudi Arabia",1,+ Add hours,536 of 628 Restaurants in Jeddah,966 55 106 6832,, Nandos,4.0 
Prince Mutaib bin Abdulaziz Rd The 40th Pearl Hotel, Jeddah 23342 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Prince Mutaib bin Abdulaziz Rd The 40th Pearl Hotel, Jeddah 23342 Saudi Arabia",1,+ Add hours,537 of 628 Restaurants in Jeddah,966 59 702 2568,, Khan Chacha Restaurant,4.0 
Corniche Road Al Shatee District, Jeddah 21424 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Corniche Road Al Shatee District, Jeddah 21424 Saudi Arabia",1,+ Add hours,538 of 628 Restaurants in Jeddah,966 2 699 2212,, Tropical Garden Restaurant,4.0 
Asad Allah, Jeddah Saudi Arabia,Jeddah,Indian,Indian,"Asad Allah, Jeddah Saudi Arabia",1,+ Add hours,37 of 42 Indian in Jeddah,966 53 880 7734,, Rolls N Kababs,4.0 
Khalid bin waleed, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Khalid bin waleed, Jeddah Saudi Arabia",2,Closed Now:See all hours,540 of 628 Restaurants in Jeddah,966 50 518 0689,, Kandy Restaurant,3.5 
Hilmi Kutbi Street Edrees Square, Jeddah Saudi Arabia,Jeddah,", Cafe", Cafe,"Hilmi Kutbi Street Edrees Square, Jeddah Saudi Arabia",1,Closed Now:See all hours,46 of 55 Cafe in Jeddah,966 12 603 3338,, Warm and Frosty Specialty Cafe,4.0 
Jeddah 23743 Saudi Arabia,,Jeddah,Restaurants,Restaurants,Jeddah 23743 Saudi Arabia,1,Open Now:12:30 PM - 1:00 AM,543 of 628 Restaurants in Jeddah,966 12 658 9962,, Hasoon Al-Hatmiyeh Restaurant,4.0 
Andlus Street Near SACO, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Andlus Street Near SACO, Jeddah Saudi Arabia",1,+ Add hours,543 of 628 Restaurants in Jeddah,966 53 049 5333,, Chinese Bistro,4.0 
Al Udaba, Jeddah 23342 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Al Udaba, Jeddah 23342 Saudi Arabia",1,+ Add hours,545 of 628 Restaurants in Jeddah,966 59 286 5716,, Taza Grill,4.0 
Sari Street, Jeddah Saudi Arabia,Jeddah,", American", American,"Sari Street, Jeddah Saudi Arabia",2,Closed Now:See all hours,70 of 79 American in Jeddah,96692000778, 10 -  30, The Coffee Bean & Tea Leaf,3.5 
Lilian Towers, Prince Sultan Road,Jeddah,Restaurants,Restaurants,"Lilian Towers, Prince Sultan Road, Jeddah 23425 Saudi Arabia",1,+ Add hours,547 of 628 Restaurants in Jeddah,966 54 696 3597,, Como Gelato E Caffe,4.0 
Prince Mutaib bin Abdulaziz Rd, Near TeleMoney,Jeddah,Indian,Indian,"Prince Mutaib bin Abdulaziz Rd, Near TeleMoney, Al Aziziyah 11,, Jeddah Saudi Arabia",3,+ Add hours,38 of 42 Indian in Jeddah,966 12 673 0386,, Am-pm,3.5 
Amna Bint Wahb An Naim, Jeddah 23621 Saudi Arabia,Jeddah,Cafe,Cafe,"Amna Bint Wahb An Naim, Jeddah 23621 Saudi Arabia",1,+ Add hours,47 of 55 Cafe in Jeddah,966 54 541 1152,, Beyond Coffee,4.0 
Tahlia street New town mall, Jeddah 23432 Saudi Arabia,Jeddah,"  , Italian, Bar, European", Italian,"Tahlia street New town mall, Jeddah 23432 Saudi Arabia",9,Open Now:See all hours,38 of 43 Italian in Jeddah,966 12 665 3430, 10 -  30, Coffiana,4.0 
Prince Sultan, Jeddah Saudi Arabia,Jeddah,", Mediterranean, Spanish", Mediterranean,"Prince Sultan, Jeddah Saudi Arabia",1,+ Add hours,78 of 84 Mediterranean in Jeddah,966 9200 11216, 100 -  400, El Diamante,4.0 
Ana Special Mall, Amir Sultan street,Jeddah,French,French,"Ana Special Mall, Amir Sultan street, Jeddah Saudi Arabia",1,+ Add hours,17 of 19 French in Jeddah,966 53 388 0060,, Glow,5.0 
Falasteen Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Falasteen Street, Jeddah Saudi Arabia",1,+ Add hours,554 of 628 Restaurants in Jeddah,966 9200 00002,, Burger King,4.0 
Abdelrahman Tybayshi Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Abdelrahman Tybayshi Street, Jeddah Saudi Arabia",1,+ Add hours,556 of 628 Restaurants in Jeddah,,, Bo Hamad,4.0 
7261 Abdulrahman bin Ahmad Assudairy Street, Jeddah 23436 Saudi Arabia,Jeddah,Turkish,Turkish,"7261 Abdulrahman bin Ahmad Assudairy Street, Jeddah 23436 Saudi Arabia",2,Open Now:See all hours,26 of 29 Turkish in Jeddah,966 12 662 1910,, Turkish Grills,3.5 
3696 Mohammed Altawel Street, Jeddah Saudi Arabia,Jeddah,Indian,Indian,"3696 Mohammed Altawel Street, Jeddah Saudi Arabia",1,Open Now:1:00 PM - 1:00 AM,39 of 42 Indian in Jeddah,966 12 669 0606,, Seasons Restaurant,4.0 
7915 Ahmad Al Attas Street Al Zahra, Jeddah 23425 Saudi Arabia,Jeddah,Restaurants,Restaurants,"7915 Ahmad Al Attas Street Al Zahra, Jeddah 23425 Saudi Arabia",2,Closes in 21 min:1:00 PM - 12:30 AM,560 of 628 Restaurants in Jeddah,966 12 639 7177,, Hot Stone Pizza & Pasta,3.5 
7843 Ahmad Al Attas, Jeddah 23425 Saudi Arabia,Jeddah,Restaurants,Restaurants,"7843 Ahmad Al Attas, Jeddah 23425 Saudi Arabia",2,+ Add hours,561 of 628 Restaurants in Jeddah,,, Street Fifty Six,3.5 
Jeddah Saudi Arabia,,Jeddah,Barbecue,Barbecue,Jeddah Saudi Arabia,1,+ Add hours,31 of 32 Barbecue in Jeddah,966 12 661 0888,, Abu al az Grill,4.0 
3710 Mohammed Mahmud Zahid, Jeddah Saudi Arabia,Jeddah,Indian,Indian,"3710 Mohammed Mahmud Zahid, Jeddah Saudi Arabia",1,+ Add hours,40 of 42 Indian in Jeddah,966 12 628 3161,, الارز الفاخر Zeera Rice,4.0 
Cornishe Road Ash Shati, Jeddah 23613 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Cornishe Road Ash Shati, Jeddah 23613 Saudi Arabia",1,+ Add hours,564 of 628 Restaurants in Jeddah,,, Dazzle,4.0 
6733-6737 Hamzah Shahatah, Jeddah Saudi Arabia,Jeddah,Asian,Asian,"6733-6737 Hamzah Shahatah, Jeddah Saudi Arabia",2,+ Add hours,64 of 65 Asian in Jeddah,966 55 003 7006,, Caribbean Fish,3.5 
Jeddah Saudi Arabia,,Jeddah,"  , Italian, Pizza, Soups", Italian,Jeddah Saudi Arabia,1,+ Add hours,39 of 43 Italian in Jeddah,966 50 669 0902, 10 -  70, Broccoli Pizza & Pasta,4.0 
In Front of the Beach- Kornish Road In Front of the Park Hyatt, Jeddah 21432 Saudi Arabia,Jeddah,"Lebanese, Mediterranean, European, Middle Eastern", Mediterranean,"In Front of the Beach- Kornish Road In Front of the Park Hyatt, Jeddah 21432 Saudi Arabia",4,+ Add hours,43 of 46 Lebanese in Jeddah,966 2 652 1808,, Lotus Restaurant for Lebanese Food,5.0 
Fahd Al Askar, Jeddah 23434 Saudi Arabia,Jeddah,", Cafe", Cafe,"Fahd Al Askar, Jeddah 23434 Saudi Arabia",1,+ Add hours,48 of 55 Cafe in Jeddah,1 415-936-6067, 135 -  500, Meraki Artisan Coffee,4.0 
alkurnaysh road park hyatt, jeddah,Jeddah,Restaurants,Restaurants,"alkurnaysh road park hyatt, jeddah, Jeddah Saudi Arabia",2,Closed Now:See all hours,571 of 628 Restaurants in Jeddah,,, Yogette Cafe,4.0 
Hera St Behind Hilton Hotel, Jeddah Saudi Arabia,Jeddah,"American, Caribbean, Bahamian, Hawaiian", Caribbean,"Hera St Behind Hilton Hotel, Jeddah Saudi Arabia",1,+ Add hours,72 of 79 American in Jeddah,966 59 464 1327,, Caribbean Catch,4.0 
Al Amir Sultan Street, Jeddah 23431 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Al Amir Sultan Street, Jeddah 23431 Saudi Arabia",8,+ Add hours,573 of 628 Restaurants in Jeddah,966 12 691 2433,, Bafart Cafe,3.0 
Obhur, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Obhur, Jeddah Saudi Arabia",4,Open Now:See all hours,574 of 628 Restaurants in Jeddah,966 9200 28284,, Twina,3.5 
Albasateen Street Opposite Arab Schools, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Albasateen Street Opposite Arab Schools, Jeddah Saudi Arabia",3,+ Add hours,575 of 628 Restaurants in Jeddah,966 12 234 5606,, Al-thamarat,3.5 
Al-Mo'Alifeen Street, Jeddah Saudi Arabia,Jeddah,", American", American,"Al-Mo'Alifeen Street, Jeddah Saudi Arabia",3,+ Add hours,73 of 79 American in Jeddah,,, Barns Ksa,3.5 
Abdulmaqsoud Khoja Street, Jeddah 23435 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Abdulmaqsoud Khoja Street, Jeddah 23435 Saudi Arabia",4,+ Add hours,577 of 628 Restaurants in Jeddah,,, The Social Kitchen,3.5 
Al-Khaldyaa, Jeddah Saudi Arabia,Jeddah,"  , Italian", Italian,"Al-Khaldyaa, Jeddah Saudi Arabia",8,+ Add hours,40 of 43 Italian in Jeddah,,, Pizaa Napoli,3.5 
Jeddah Saudi Arabia,,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,1,+ Add hours,579 of 628 Restaurants in Jeddah,,, Cabalen,4.0 
Tahlia Street, Towards Corniche Aster center,Jeddah,"  , Turkish, International", Turkish,"Tahlia Street, Towards Corniche Aster center, Jeddah Saudi Arabia",14,Closed Now:See all hours,44 of 47 International in Jeddah,9661266062750, 38 -  113, Cookshop,4.0 
Mall of Arabia Al Nozha, Jeddah Saudi Arabia,Jeddah,"  , Cafe, Turkish", Cafe,"Mall of Arabia Al Nozha, Jeddah Saudi Arabia",13,+ Add hours,49 of 55 Cafe in Jeddah,,, Simit Sarayi,3.0 
N. King Abdulaziz Road, Jeddah Saudi Arabia,Jeddah,Arabic,Arabic,"N. King Abdulaziz Road, Jeddah Saudi Arabia",8,Closed Now:See all hours,46 of 51 Arabic in Jeddah,966 9200 05842,, Kababji Jeddah,3.0 
The Courtyard, Prince Sultan St. & Al-Rawdah St. Intersection,Jeddah,"  , Lebanese, Cafe, Middle Eastern", Lebanese,"The Courtyard, Prince Sultan St. & Al-Rawdah St. Intersection, Jeddah 21352 Saudi Arabia",25,Closed Now:See all hours,44 of 46 Lebanese in Jeddah,966 12 606 1723, 18 -  30, Kalila bakery and cafe,3.0 
Altkhasosi, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Altkhasosi, Jeddah Saudi Arabia",12,+ Add hours,584 of 628 Restaurants in Jeddah,,, Capo Grillo,3.5 
An Nahda Alyusur Square, Jeddah 23615 Saudi Arabia,Jeddah,Uzbek,Uzbek,"An Nahda Alyusur Square, Jeddah 23615 Saudi Arabia",3,+ Add hours,1 of 1 Uzbek in Jeddah,966 59 516 9063,, Ugur,3.0 
Andalus St. at Palestine St., Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Andalus St. at Palestine St., Jeddah Saudi Arabia",3,+ Add hours,586 of 628 Restaurants in Jeddah,,, ajame,2.5 
Prince Mohamed bin abdulaziz Street Al Andalus, Jeddah Saudi Arabia,Jeddah,", Japanese, Sushi", Japanese,"Prince Mohamed bin abdulaziz Street Al Andalus, Jeddah Saudi Arabia",3,Closed Now:See all hours,24 of 24 Japanese in Jeddah,966 53 559 8855, 175 -  300, Zn Restaurant,3.0 
23436 Abdul Rahman Ibn Ahmad As Sidayri As Salamah, Jeddah Saudi Arabia,Jeddah,"Lebanese, Pizza, Mediterranean, Grill", Pizza,"23436 Abdul Rahman Ibn Ahmad As Sidayri As Salamah, Jeddah Saudi Arabia",1,Open Now:1:00 PM - 1:00 AM,45 of 46 Lebanese in Jeddah,966 12 275 6633,, Lahem beajeen,3.0 
Corniche Road On the First Floor of the Radisson BLU Jeddah Corniche, Jeddah 21452 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Corniche Road On the First Floor of the Radisson BLU Jeddah Corniche, Jeddah 21452 Saudi Arabia",1,+ Add hours,588 of 628 Restaurants in Jeddah,966 12 511 0000,, The Radisson Blu Business Class Lounge Restaurant,3.0 
Corniche Road, Ash Shati District,Jeddah,Restaurants,Restaurants,"Corniche Road, Ash Shati District, Jeddah 21452 Saudi Arabia",1,+ Add hours,588 of 628 Restaurants in Jeddah,966 12 511 0000,, The Larder Restaurant,3.0 
Prince Saud Al-Faisal St., Jeddah Saudi Arabia,Jeddah,Chinese,Chinese,"Prince Saud Al-Faisal St., Jeddah Saudi Arabia",1,+ Add hours,28 of 29 Chinese in Jeddah,966 53 800 2055,, Chi Box,3.0 
Safa Street, Jeddah 505 Saudi Arabia,Jeddah,"Fast Food, Healthy", Healthy,"Safa Street, Jeddah 505 Saudi Arabia",3,+ Add hours,45 of 48 Fast Food in Jeddah,,, Juiceco,3.0 
Abdulmaksoud Khoja Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Abdulmaksoud Khoja Street, Jeddah Saudi Arabia",1,+ Add hours,588 of 628 Restaurants in Jeddah,,, Pink Camel,3.0 
Al Rawdah Street, Jeddah Saudi Arabia,Jeddah,"Mediterranean, Egyptian", Egyptian,"Al Rawdah Street, Jeddah Saudi Arabia",1,+ Add hours,80 of 84 Mediterranean in Jeddah,,, Boat Cafe,3.0 
Jeddah Saudi Arabia,,Jeddah,Barbecue,Barbecue,Jeddah Saudi Arabia,1,+ Add hours,32 of 32 Barbecue in Jeddah,,, Kebapje,3.0 
Al-Madinah Al-Munawarah Rd,,Jeddah,Restaurants,Restaurants,"Al-Madinah Al-Munawarah Rd,, Jeddah 23526 Saudi Arabia",1,+ Add hours,588 of 628 Restaurants in Jeddah,,, Esquires Coffee Houses,3.0 
Ash Shati Boulevard, Jeddah 23414 Saudi Arabia,Jeddah,", Asian", Asian,"Ash Shati Boulevard, Jeddah 23414 Saudi Arabia",3,+ Add hours,65 of 65 Asian in Jeddah,966 50 006 2142,, Baco,3.0 
Rowda Street, Jeddah Saudi Arabia,Jeddah,"  , American", American,"Rowda Street, Jeddah Saudi Arabia",8,+ Add hours,74 of 79 American in Jeddah,966 2 645 6015,, Al Hanim,3.0 
Prince Muhammad Bin Abdulaziz Road Al Andalus,,Jeddah,Restaurants,Restaurants,"Prince Muhammad Bin Abdulaziz Road Al Andalus,, Jeddah 23326 Saudi Arabia",2,+ Add hours,600 of 628 Restaurants in Jeddah,966 12 659 8141,, Qamreya,3.0 
Masaud Street Close to Sultan Mall, Jeddah Saudi Arabia,Jeddah,Thai,Thai,"Masaud Street Close to Sultan Mall, Jeddah Saudi Arabia",3,+ Add hours,3 of 4 Thai in Jeddah,,, Rasa Thai Restaurant,3.0 
Prince Sultan Road Hamad Center, Jeddah 23433 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Prince Sultan Road Hamad Center, Jeddah 23433 Saudi Arabia",3,+ Add hours,602 of 628 Restaurants in Jeddah,,, Cowboy Restaurant,3.0 
Prince Sultan Road As Salamah, Jeddah,Jeddah,  ,Restaurants,"Prince Sultan Road As Salamah, Jeddah, Jeddah 23436 Saudi Arabia",6,Open Now:See all hours,603 of 628 Restaurants in Jeddah,966 59 955 5666,, Overdose,3.0 
King Road, Diners Squaer Near Balzamico and Sabb Bank,Jeddah,"  , Italian, Pizza, Cafe", Italian,"King Road, Diners Squaer Near Balzamico and Sabb Bank, Jeddah 21463 Saudi Arabia",5,+ Add hours,41 of 43 Italian in Jeddah,966 58 111 7364,, Assalat Alreef Cafe',4.5 
Prince Mohammed Bin Abdulaziz St. Al Andalus District, Jeddah 23421 Saudi Arabia,Jeddah,"  , American", American,"Prince Mohammed Bin Abdulaziz St. Al Andalus District, Jeddah 23421 Saudi Arabia",17,+ Add hours,75 of 79 American in Jeddah,966 12 288 9317,, Buffalo Wild Wings,3.0 
Prince Sultan Road, Jeddah 23435 Saudi Arabia,Jeddah,  ,Restaurants,"Prince Sultan Road, Jeddah 23435 Saudi Arabia",8,+ Add hours,606 of 628 Restaurants in Jeddah,966 53 332 0833,, Heyla Cafe,3.0 
Madinah Road, Jeddah Saudi Arabia,Jeddah,"  , Mediterranean", Mediterranean,"Madinah Road, Jeddah Saudi Arabia",25,+ Add hours,82 of 84 Mediterranean in Jeddah,966 12 665 4005,, Shami,3.0 
Palastine street, Jeddah Saudi Arabia,Jeddah,"  , Middle Eastern, Lebanese, Mediterranean", Middle Eastern,"Palastine street, Jeddah Saudi Arabia",48,+ Add hours,46 of 46 Lebanese in Jeddah,,, Shami Resturant,3.0 
Jeddah International Airport, Jeddah Saudi Arabia,Jeddah,"  , International", International,"Jeddah International Airport, Jeddah Saudi Arabia",5,+ Add hours,45 of 47 International in Jeddah,,, Cafe La Rica,3.0 
Al amir majid st, Jeddah Saudi Arabia,Jeddah,"  , Middle Eastern, Pakistani", Middle Eastern,"Al amir majid st, Jeddah Saudi Arabia",13,Closes in 19 min:12:00 PM - 12:30 AM,80 of 82 Middle Eastern in Jeddah,966 56 153 6555,, Royal taj,3.0 
El Salam Mall Prince Majid Road, Jeddah Saudi Arabia,Jeddah,Italian,Italian,"El Salam Mall Prince Majid Road, Jeddah Saudi Arabia",1,+ Add hours,42 of 43 Italian in Jeddah,966 54 255 1093,, Pizza Company,2.0 
7863 Umm Al Qoura Street, Al Safa,Jeddah,", Middle Eastern, Arabic", Middle Eastern,"7863 Umm Al Qoura Street, Al Safa, Jeddah 23454 Saudi Arabia",1,+ Add hours,81 of 82 Middle Eastern in Jeddah,966 55 165 6647, 13 -  50, O'dolma,2.0 
Prince Mohamed Bin Abdulaziz Caffeine Lab, Jeddah 23322 Saudi Arabia,Jeddah,"  , Southwestern, Cafe, Middle Eastern", Southwestern,"Prince Mohamed Bin Abdulaziz Caffeine Lab, Jeddah 23322 Saudi Arabia",2,Closed Now:See all hours,2 of 2 Southwestern in Jeddah,966 12 617 3577," 15 -  50,000", Caffeine Lab,5.0 
4385 King Abdullah Branch Rd, Jeddah 22234 Saudi Arabia,Jeddah,"Mexican, American, Mediterranean, Thai", American,"4385 King Abdullah Branch Rd, Jeddah 22234 Saudi Arabia",2,+ Add hours,8 of 10 Mexican in Jeddah,966 56 832 9868,, Beef & Butter,5.0 
Al-Madinah Al-Munawarah Rd,,Jeddah,"  , International", International,"Al-Madinah Al-Munawarah Rd,, Jeddah 21371 Saudi Arabia",13,+ Add hours,46 of 47 International in Jeddah,966 12 618 8888, 20 -  200, Ctaste,5.0 
Al Maadi Road Crowne Plaza Jeddah Hotel, Jeddah 10924 Saudi Arabia,Jeddah,", Steakhouse, European, Grill", Steakhouse,"Al Maadi Road Crowne Plaza Jeddah Hotel, Jeddah 10924 Saudi Arabia",46,Closed Now:See all hours,21 of 21 Steakhouse in Jeddah,966 12 260 4900,, Crowne Grill,4.5 
Prince Mohammad Bin Abdulaziz St, Al Andalus,Jeddah,Turkish,Turkish,"Prince Mohammad Bin Abdulaziz St, Al Andalus, Jeddah Saudi Arabia",1,+ Add hours,29 of 29 Turkish in Jeddah,966 56 050 2182,, Al Qubbe,1.0 
Sharie Al'amir Sultan, Jeddah 23545 Saudi Arabia,Jeddah,"American, Pizza, Seafood, Soups", Pizza,"Sharie Al'amir Sultan, Jeddah 23545 Saudi Arabia",1,+ Add hours,77 of 79 American in Jeddah,966 54 260 8000,, Chill Lounge,1.0 
Al Aziziyah, Jeddah Saudi Arabia,Jeddah,Indian,Indian,"Al Aziziyah, Jeddah Saudi Arabia",1,+ Add hours,41 of 42 Indian in Jeddah,966 54 697 3475,, Indian spice,1.0 
Andalus Mall, Mall of Arabia,Jeddah,"  , Mexican", Mexican,"Andalus Mall, Mall of Arabia, Serafi Mall, Aziz Mall, Red Sea Mall, Haifa Mall, Jeddah Saudi Arabia",10,+ Add hours,9 of 10 Mexican in Jeddah,,, Tako Hut,2.5 
AlBuraidy Street MA Cafe, Jeddah 23326 Saudi Arabia,Jeddah,"Cafe, Contemporary, Arabic", Contemporary,"AlBuraidy Street MA Cafe, Jeddah 23326 Saudi Arabia",1,Closed Now:See all hours,54 of 55 Cafe in Jeddah,966 56 944 5000,, MA Cafe,5.0 
Al udaba street, Jeddah 23342 Saudi Arabia,Jeddah,Cafe,Cafe,"Al udaba street, Jeddah 23342 Saudi Arabia",2,Closed Now:See all hours,55 of 55 Cafe in Jeddah,966 59 042 0856,, Teapoint - karak N waffle,5.0 
